group,variable,value
PP,Mujahidin A,0
PP,AGAP,0
PP,JAT,0
PP,MIT,0
PP,WIM,0
PP,JAD,0
PP,CE,0
PP,PPI,0
PP,LT,0
PP,ISIL,0
PP,JIE,0
Aitarak,Ninjas,0
Aitarak,FRETILN,0
Aitarak,HKBP,0
Aitarak,ETE,0
Aitarak,ETY,0
Aitarak,GAM,1
Aitarak,PIE,0
Aitarak,OPM,0
Aitarak,FALINTIL,0
Aitarak,NCMR,0
Aitarak,Irianese,0
Aitarak,Mob,0
Aitarak,Opposition,0
Aitarak,Youth,0
Aitarak,MM,0
Aitarak,Timorese S,0
Aitarak,MY,0
Aitarak,Timorese C,0
Aitarak,Muslims,0
Aitarak,Timorese G,0
Aitarak,PP,1
Aitarak,BMPM,1
Aitarak,AIE,1
Aitarak,PDR,1
Aitarak,Separatists,1
Aitarak,Mahidi,0
Aitarak,JI,0
Aitarak,Militia,0
Aitarak,Gunmen,0
Aitarak,KAK,0
Aitarak,ME,0
Aitarak,FPI,0
Aitarak,Dayak,0
Aitarak,Villagers,0
Aitarak,Mujahedin K,0
Aitarak,Laskar Jihad,0
Aitarak,Extremists,0
Aitarak,Mujahidin A,0
Aitarak,AGAP,0
Aitarak,JAT,0
Aitarak,MIT,0
Aitarak,WIM,0
Aitarak,JAD,0
Aitarak,CE,0
Aitarak,PPI,0
Aitarak,LT,0
Aitarak,ISIL,0
Aitarak,JIE,0
BMPM,Ninjas,0
BMPM,FRETILN,0
BMPM,HKBP,0
BMPM,ETE,0
BMPM,ETY,0
BMPM,GAM,2
BMPM,PIE,1
BMPM,OPM,1
BMPM,FALINTIL,0
BMPM,NCMR,0
BMPM,Irianese,0
BMPM,Mob,0
BMPM,Opposition,0
BMPM,Youth,0
BMPM,MM,0
BMPM,Timorese S,0
BMPM,MY,0
BMPM,Timorese C,0
BMPM,Muslims,0
BMPM,Timorese G,0
BMPM,PP,1
BMPM,Aitarak,1
BMPM,AIE,1
BMPM,PDR,1
BMPM,Separatists,2
BMPM,Mahidi,1
BMPM,JI,0
BMPM,Militia,0
BMPM,Gunmen,0
BMPM,KAK,0
BMPM,ME,0
BMPM,FPI,0
BMPM,Dayak,0
BMPM,Villagers,0
BMPM,Mujahedin K,0
BMPM,Laskar Jihad,0
BMPM,Extremists,0
BMPM,Mujahidin A,0
BMPM,AGAP,0
BMPM,JAT,0
BMPM,MIT,0
BMPM,WIM,0
BMPM,JAD,0
BMPM,CE,0
BMPM,PPI,0
BMPM,LT,0
BMPM,ISIL,0
BMPM,JIE,0
AIE,Ninjas,0
AIE,FRETILN,0
AIE,HKBP,0
AIE,ETE,0
AIE,ETY,0
AIE,GAM,1
AIE,PIE,0
AIE,OPM,0
AIE,FALINTIL,0
AIE,NCMR,0
AIE,Irianese,0
AIE,Mob,0
AIE,Opposition,0
AIE,Youth,0
AIE,MM,0
AIE,Timorese S,0
AIE,MY,0
AIE,Timorese C,0
AIE,Muslims,0
AIE,Timorese G,0
AIE,PP,1
AIE,Aitarak,1
AIE,BMPM,1
AIE,PDR,1
AIE,Separatists,1
AIE,Mahidi,0
AIE,JI,0
AIE,Militia,0
AIE,Gunmen,0
AIE,KAK,0
AIE,ME,0
AIE,FPI,0
AIE,Dayak,0
AIE,Villagers,0
AIE,Mujahedin K,0
AIE,Laskar Jihad,0
AIE,Extremists,0
AIE,Mujahidin A,0
AIE,AGAP,0
AIE,JAT,0
AIE,MIT,0
AIE,WIM,0
AIE,JAD,0
AIE,CE,0
AIE,PPI,0
AIE,LT,0
AIE,ISIL,0
AIE,JIE,0
PDR,Ninjas,0
PDR,FRETILN,0
PDR,HKBP,0
PDR,ETE,0
PDR,ETY,0
PDR,GAM,1
PDR,PIE,0
PDR,OPM,0
PDR,FALINTIL,0
PDR,NCMR,0
PDR,Irianese,0
PDR,Mob,0
PDR,Opposition,0
PDR,Youth,0
PDR,MM,0
PDR,Timorese S,0
PDR,MY,0
PDR,Timorese C,0
PDR,Muslims,0
PDR,Timorese G,0
PDR,PP,1
PDR,Aitarak,1
PDR,BMPM,1
PDR,AIE,1
PDR,Separatists,1
PDR,Mahidi,0
PDR,JI,0
PDR,Militia,0
PDR,Gunmen,0
PDR,KAK,0
PDR,ME,0
PDR,FPI,0
PDR,Dayak,0
PDR,Villagers,0
PDR,Mujahedin K,0
PDR,Laskar Jihad,0
PDR,Extremists,0
PDR,Mujahidin A,0
PDR,AGAP,0
PDR,JAT,0
PDR,MIT,0
PDR,WIM,0
PDR,JAD,0
PDR,CE,0
PDR,PPI,0
PDR,LT,0
PDR,ISIL,0
PDR,JIE,0
Separatists,Ninjas,0
Separatists,FRETILN,0
Separatists,HKBP,0
Separatists,ETE,0
Separatists,ETY,0
Separatists,GAM,3
Separatists,PIE,1
Separatists,OPM,3
Separatists,FALINTIL,0
Separatists,NCMR,0
Separatists,Irianese,0
Separatists,Mob,0
Separatists,Opposition,0
Separatists,Youth,0
Separatists,MM,0
Separatists,Timorese S,0
Separatists,MY,0
